No	Ref	V	B-V	U-B	N
0210	700	12.27	+0.560	+0.083	1
0210	1367	12.27	+0.56	+0.10	2
0210	2004	12.20	+0.56	+0.01	1
0211	59	13.80	+0.61	+0.06	1
0213	59	13.78	+0.59	+0.09	2
0214	59	13.83	+0.59	+0.07	1
0215	59	12.79	+0.60	+0.09	1
0216	59	12.73	+0.57	+0.08	2
0216	752	12.712	+0.554		2
0217	59	11.32	+1.085	+0.91	2
0217	100	11.26	+1.08	+0.96	1
0217	591	11.24	+0.97	+0.88	1
0217	1367	11.27	+1.08	+0.94	3
0217	2004	11.23	+1.09	+0.90	2
0218	59	11.68	+1.055	+0.85	2
0218	1367	11.62	+1.06	+0.89	3
0218	2004	11.63	+1.07	+0.88	2
0219	59	12.54	+0.59	+0.11	1
0219	1367	11.30	+0.63	+0.13	1
0220	1367	14.04	+0.60	+0.05	1
0221	59	12.37	+0.575	-0.035	2
0221	752	12.416	+0.560		2
0222	1367	13.59	+0.58	+0.05	1
0223	59	10.58	+1.10	+0.975	2
0223	308	10.54	+1.11		3
0223	1367	10.61	+1.13	+0.93	1
0223	2004	10.52	+1.14	+0.95	1
0223	2037	10.522	+1.116		13
0224	59	10.76	+1.13	+1.09	2
0224	308	10.78	+1.10		3
0224	318	10.78	+1.11		1
0224	700	10.78	+1.112		1
0224	752	10.755	+1.097		2
0224	1367	10.78	+1.14	+1.11	4
0224	2004	10.76	+1.14	+1.07	3
0225	59	13.08	+0.55	+0.04	2
0225	1367	13.10	+0.54	+0.02	1
0226	59	12.77	+0.755	+0.255	2
0226	700	12.75	+0.744	+0.290	1
0226	1367	12.78	+0.71	+0.30	3
0227	59	12.97	+0.915	+0.57	2
0227	695	12.96	+0.89	+0.62	1
0227	700	13.00	+0.910	+0.604	1
0228	59	13.24	+0.57	+0.07	1
0229	59	13.40	+0.54	+0.06	1
0230	1367	13.54	+0.56	+0.05	1
0231	59	11.50	+1.05	+0.88	2
0231	100	11.49	+1.06	+0.87	1
0231	308	11.51	+1.05		3
0231	752	11.497	+1.023		2
0231	1367	11.51	+1.06	+0.90	6
0231	2004	11.48	+1.06	+0.90	3
0232	1367	13.54	+0.55	+0.05	1
0233	59	13.42	+0.55	+0.06	1
0233	752	13.386	+0.553		1
0235	59	13.41	+0.58	+0.04	2
0236	59	12.54	+0.675	+0.15	2
0236	695	12.53	+0.66	+0.17	1
0236	700	12.54	+0.646	+0.194	2
0236	1367	12.55	+0.64	+0.16	3
0237	1367	12.90	+0.92	+0.64	1
0238	59	10.57	+0.27	+0.11	1
0238	1367	10.90	+0.22	+0.20	3
0238	2004	10.87	+0.20	+0.16	3
0240	1367	12.00	+0.99	+0.79	1
0240	2004	11.98	+0.99	+1.06	2
0241	59	12.68	+0.595	+0.09	2
0241	1367	12.68	+0.58	+0.12	4
0242	59	7.85	+1.12	+0.99	1
0243	59	12.61	+0.61	+0.075	2
0243	1367	12.62	+0.60	+0.09	1
0244	59	10.78	+0.94	+0.67	2
0244	308	10.76	+0.94		3
0244	318	10.77	+0.93		1
0244	700	10.76	+0.939	+0.665	2
0244	1367	10.75	+0.95	+0.67	5
0244	2004	10.71	+0.93	+0.65	3
0246	1367	12.83	+0.41	+0.10	1
0248	1367	12.78	+0.56	+0.07	1
0249	1367	13.48	+0.55	+0.10	1
